SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
540648,PALASHSEC   ,B ,Q,64.10,64.55,64.10,64.55,64.55,67.15,4,328,21069.00,
540649,AVADHSUGAR  ,B ,Q,548.00,548.00,484.65,512.55,512.55,543.45,1111,52752,26180926.00,
540650,MAGADHSUGAR ,B ,Q,137.75,138.20,129.00,132.85,132.25,139.85,124,7133,960932.00,
540651,JIGAR       ,M ,Q,38.00,38.00,38.00,38.00,38.00,38.00,1,8000,304000.00,
540652,CTCL        ,M ,Q,48.60,51.00,48.60,51.00,51.00,54.00,3,9000,445800.00,
540653,SINTEXPLAST ,B ,Q,62.75,65.00,61.00,61.95,61.95,62.70,1857,370282,22963249.00,
540655,DAFXXIIIGR  ,F ,Q,10.30,10.30,10.20,10.20,10.20,9.40,2,17020,175304.00,
540669,UTINEXT50   ,B ,Q,289.30,289.30,280.05,280.05,280.05,294.95,8,10,2836.00,
540673,SIS         ,B ,Q,1121.45,1123.00,1100.00,1104.80,1100.00,1122.70,31,257,286180.00,
540678,COCHINSHIP  ,B ,Q,513.10,518.10,506.10,513.90,514.00,510.25,563,12890,6586424.00,
540679,SMSLIFE     ,B ,Q,391.20,393.00,391.20,391.20,391.20,393.50,11,1105,434237.00,
540680,KIOCL       ,B ,Q,258.00,262.80,248.50,260.45,260.45,250.00,134,20234,5132411.00,
540681,CHOTHANI    ,M ,Q,7.40,8.00,7.02,7.61,8.00,8.64,5,50000,369900.00,
540686,SMRUTHIORG  ,X ,Q,102.00,108.00,99.10,102.00,102.00,103.55,13,109,11133.00,
540691,ABCAPITAL   ,B ,Q,156.00,157.05,153.60,154.85,154.85,154.25,2434,650158,100357487.00,
540692,APEX        ,B ,Q,660.00,670.00,642.75,663.95,661.85,649.45,1007,30697,20179042.00,
540693,SHISHIND    ,M ,Q,29.00,29.00,29.00,29.00,29.00,27.30,1,4000,116000.00,
540694,ANG         ,M ,Q,64.00,64.00,62.75,62.75,62.75,69.10,3,41600,2640400.00,
540697,AMFL        ,M ,Q,12.75,13.25,12.20,12.80,12.20,12.80,10,80000,1021120.00,
540698,NEL         ,M ,Q,7.25,7.35,7.13,7.21,7.13,7.46,5,20000,144520.00,
540699,DIXON       ,B ,Q,3517.95,3528.75,3400.00,3442.55,3443.00,3462.30,406,2139,7365528.00,
540700,BRNL        ,B ,Q,187.00,187.00,175.00,178.25,178.00,180.45,105,1992,353148.00,
540701,DCAL        ,B ,Q,316.45,319.00,303.25,307.55,306.00,310.70,210,63669,19606574.00,
540702,LASA        ,B ,Q,102.00,104.95,97.65,97.65,97.65,102.75,308,58424,5780712.00,
540703,PROVESTSER  ,X ,Q,12.25,12.25,11.80,11.80,11.80,12.42,3,2000,23925.00,
540704,MATRIMONY   ,B ,Q,815.75,845.00,815.00,834.25,838.00,810.05,16,76,63110.00,
540709,RELHOME     ,B ,Q,65.50,67.50,64.15,66.15,66.00,64.90,1088,94247,6176436.00,
540710,CAPACITE    ,B ,Q,315.35,316.00,306.05,313.25,313.25,312.05,493,17530,5472040.00,
540715,SAGAR       ,M ,Q,26.50,26.50,25.25,25.30,25.25,27.00,7,213000,5395800.00,
540716,ICICIGI     ,B ,Q,790.70,805.50,790.70,798.30,800.00,790.70,297,5349,4270398.00,
540719,SBILIFE     ,B ,Q,655.00,659.00,647.15,651.45,651.45,650.35,489,14670,9585267.00,
540724,DIAMONDYD   ,B ,Q,1220.25,1220.25,1202.20,1215.05,1215.00,1216.65,44,311,378489.00,
540726,TTFL        ,M ,Q,104.00,108.00,104.00,108.00,108.00,107.40,5,20000,2114000.00,
540727,POOJA       ,M ,Q,62.90,62.90,62.90,62.90,62.90,62.50,1,3000,188700.00,
540729,VANTABIO    ,M ,Q,50.05,50.10,49.90,50.10,50.10,50.05,7,36000,1797450.00,
540735,IRIS        ,M ,Q,53.50,53.50,53.50,53.50,53.50,53.50,1,4000,214000.00,
540736,SIDDH       ,M ,Q,33.50,33.50,33.00,33.00,33.00,33.50,4,24000,802000.00,
540737,SGRL        ,M ,Q,42.45,42.90,40.50,42.90,42.90,42.90,3,9000,377550.00,
540743,GODREJAGRO  ,B ,Q,657.00,670.75,640.25,648.90,648.90,652.05,2349,76728,49922862.00,
540744,MESCON      ,XT,Q,52.40,53.90,51.45,52.10,52.00,52.75,110,11809,618598.00,
540749,MASFIN      ,B ,Q,589.45,598.55,575.10,587.10,586.90,586.05,63,816,476892.00,
540750,IEX         ,B ,Q,1423.95,1439.95,1411.00,1429.10,1435.00,1411.85,78,559,796015.00,
540755,GICRE       ,B ,Q,710.40,710.40,700.00,700.80,702.00,705.35,616,16457,11573201.00,
540756,KAARYAFSL   ,M ,Q,56.00,56.00,51.75,51.75,51.75,57.50,5,60000,3332700.00,
540757,SCPL        ,M ,Q,124.50,129.00,124.50,127.15,127.15,121.70,10,16000,2032480.00,
540762,TIINDIA     ,B ,Q,260.70,267.45,255.00,262.65,265.00,260.00,177,3435,892281.00,
540767,RNAM        ,B ,Q,258.00,265.00,254.90,259.35,259.20,256.95,204,14042,3634961.00,
540768,MAHLOG      ,B ,Q,475.00,478.00,465.70,467.80,466.50,467.70,81,1576,739268.00,
540769,NIACL       ,B ,Q,681.70,691.55,681.70,685.15,688.85,677.95,95,1584,1085583.00,
540774,IFGLEXPOR   ,B ,Q,273.00,278.15,269.00,272.25,278.15,266.75,35,820,223698.00,
